symbol	MDA-MB-436	LU-01-1157	LU-01-0030	CO-04-0310	BR-05-0014E	BR-05-0022	BR-05-0028	BR-05-0020E	OV-10-0060	OV-10-0079	22RV1	CO-04-0003	HN-13-0032	LI-03-0014	LU-01-1388	LU-01-1116	ST-02-0360	ST-02-0393
SLC37A2	0.6328181095553694	0.40551967237282605	6.4560666545106224	0.57530156915961	4.186057312496278	0.18961010153339306	0.11096677067044763	0.25052580515882555	0.19686388044304326	0.26772712338543614	0.2967068934897517	0.6768233324784645	6.739420727596091	0.8274424576402694	4.910900050710293	0.4643592631948131	0.4082117556711055	0.5319560099267517
PAX8	4.367653396861897	2.8315520948109323	3.8256875020296643	2.5705190167850254	0.05381335993652559	5.585141776842599	3.742852385730558	0.15549244259722006	0.1309393353470024	10.243124360057678	2.5189493800889253	3.5296001433166007	3.9247667518271334	0.46139480015967993	3.488768871328034	0.35955485241391677	3.0211701541000404	4.236986425503876
CASP14	1.360997918437498	0.06379325956762409	2.1648335191859207	0.0	5.754761488999853	0.13861333119794303	5.000514121775513	0.38427314846916577	0.0	0.0	0.0015950325530077777	0.0	6.542249675903723	0.0	2.778799073854302	0.0	0.8327105499167685	0.0
CLCA2	0.17164814444725726	0.04830160249152758	5.445406485971617	0.15839039988568904	0.044733922988255445	0.02621776494174903	0.5051592448679313	0.0	0.1309393353470024	0.03878155272577391	0.09320324399608203	0.27236219681090046	8.706911229360015	0.0	6.955921497791842	0.0	0.0	0.0
CAPS	1.5993956358422738	4.9544863354687605	9.34045715447339	3.355020886510952	5.160922532971379	5.297943714017975	8.599177033161014	8.378017233042895	2.9322955332066423	3.5421765160275864	2.6025003783342875	2.2540483915515273	3.3500416353809963	3.32078182861342	8.105315362505847	3.8372972031329144	3.6712911781108835	4.840552414954208
S100P	4.023309890037181	0.7164443011526012	9.026596592492012	8.028573688233	3.1195297204426504	1.329992189043863	2.67306626557106	5.327131255891944	6.5046852199173575	2.488394682597581	7.235865820083451	9.989531140870502	9.586863012925262	6.325809645299726	11.024372189201358	0.0	8.310201006357573	8.505945181055877
GPC3	0.9489945954814453	0.13209597036424825	4.620004268974546	0.41218276329914894	1.799039792498319	0.9994594056998712	2.0844680771750896	0.44540278475423456	0.43523003387076226	0.068992344780531	1.4111638300850766	1.5825741501864248	0.8441714225366064	10.741254964312844	2.236256945696636	7.816060713881672	1.5602318573550287	1.2787654494627447
SPARC	2.162891044670525	5.88591420003627	0.1744794748137302	0.07850523136997606	9.917814496024942	1.3902877302718073	3.2864861736705215	10.299631726461755	1.6027488810715118	0.6644960510683022	0.668339172847989	1.3729380154479938	1.0381929449078233	0.0	6.222800817195128	4.787248156621734	1.7661844756470337	0.0
KRT5	0.7929867055201076	0.06379325956762409	11.341397075313298	0.11951300197419139	7.151067525141248	10.000240119381605	7.416977682949175	10.966406327298763	7.530498631258092	3.8275101511087692	0.9261651587814101	0.09246249418181354	11.614605590334389	0.0881405904949904	8.693924983517274	0.4261033235168352	0.7342257082640399	0.25256979877826785
EFS	0.008667118879845642	0.06379325956762409	4.678616429392191	0.07850523136997606	4.8708203235002845	5.736882401936141	4.664537962427762	5.4154085692628575	0.1309393353470024	0.0	1.1921302274681862	0.0	3.70501737102105	5.247267537060647	2.9826248912898814	5.7013234326689775	0.0	0.0
CCL2	5.795757378868517	0.0	0.08799714269569052	0.0	0.35955485241391677	6.723176360643584	3.2410660474610626	1.5807272905501983	0.9224596482143157	0.0	0.27952926446007237	0.0	0.0	0.0	0.19254690482846157	0.0	1.533944752396622	0.3073841552515987
KCNE3	0.6004757736939781	0.5745168204659139	0.740354812103621	5.796861840032005	0.0	0.4261033235168352	0.03496999274728103	1.237798024265511	7.68550761820312	4.165872329935568	0.0	4.729358202415794	0.61576739019361	2.431664803232458	0.49232648684785985	0.0	3.659331978200049	7.5053577936665175
KRT13	0.2023518246376316	0.0	11.422018017946638	0.34667504073353483	0.16058762335553736	0.1781806973528911	0.061579101874738744	0.06689411156279898	1.727323444739647	0.22742493656716903	0.04136935394716773	0.7425411574746685	3.3213332281648595	0.0	7.20959356519317	0.0	1.8785642570319365	1.6548369271075272
